"","locationName","lat","long"
"137","California, USA",36.778261,-119.4179324
"138","Melbourne, Australia",-37.813611,144.963056
"139","Batavia, IL",41.8500284,-88.3125738
"140","United States",37.09024,-95.712891
"141","Cbhs",35.132071,-89.864854
"142","San Antonio, TX",29.4241219,-98.4936282
"143","Shoe store, Texas ",30.3312641,-97.7398454
"144","Boston, MA",42.3600825,-71.0588801
"145","Detroit, MI",42.331427,-83.0457538
"146","Oxnard, CA",34.1975048,-119.1770516
"147","Illinois, USA",40.6331249,-89.3985283
"148","Danville.CA",37.8215929,-121.9999606
"149","Argentina",-38.416097,-63.616672
"150","south to west texas ",31.3839017,-100.439656
"151","Carolina",18.3807819,-65.9573872
"152","Boston",42.3600825,-71.0588801
"153","Cape Breton, Nova Scotia",46.2486851,-60.851817
"154","Colombia",4.570868,-74.297333
"155","BADLANDS",43.8553804,-102.3396912
"156","Guatemala",15.783471,-90.230759
"157","Kuala Lumpur, Malaysia",3.139003,101.686855
"158","Atlanta, GA",33.7489954,-84.3879824
"159","College Park, MD",38.9896967,-76.93776
"160","Edgewood, OH",41.8779691,-80.7491563
"161","Kentucky, USA",37.8393332,-84.2700179
"162","Eating",40.777365,-73.9616659
"163","oregon",43.8041334,-120.5542012
"164","Upland, IN",40.4755974,-85.4944168
"165","Texas, USA",31.9685988,-99.9018131
"166","Texas, USA",31.9685988,-99.9018131
"167","Dunder Mifflin Scranton",41.4187924,-75.6560278
"168","New Hampshire, USA",43.1938516,-71.5723953
"169","Ohio",40.4172871,-82.907123
"170","Massachusetts, USA",42.4072107,-71.3824374
"171","Houston, Tx",29.7604267,-95.3698028
"172","Chile",-35.675147,-71.542969
"173","Cincinnati, OH",39.1031182,-84.5120196
"174","Maryland",39.0457549,-76.6412712
"175","Melwood",38.8120491,-76.848868
"176","161st Street and River Avenue ",40.8278208,-73.9259438
"177","CC1",42.4135212,-76.5009253
"178","Twin Cities, MN",44.9374831,-93.2009998
"179","Midland, TX",31.9973456,-102.0779146
"180","Los Angeles, CA",34.0522342,-118.2436849
"181","Tennessee, USA",35.5174913,-86.5804473
"182","southside of atlanta",33.7123595,-84.3844304
"183","Rowland Heights, CA",33.9761238,-117.9053395
"184","California",36.778261,-119.4179324
"185","Palm Desert, CA",33.7222445,-116.3744556
"186","The Wire",41.259388,-95.941725
"187","Bordeaux",44.837789,-0.57918
"188","Los Angeles, CA",34.0522342,-118.2436849
"189","Charleston, SC",32.7764749,-79.9310512
"190","Benton Harbor, MI",42.1167065,-86.4541894
"191","Huntington Beach, CA",33.660297,-117.9992265
"192","MI",44.3148443,-85.6023643
"193","Colorado Springs, CO",38.8338816,-104.8213634
"194","Bahía Blanca, Argentina",-38.7183177,-62.2663478
"195","Norway",60.472024,8.468946
"196","Plano, TX",33.0198431,-96.6988856
"197","Gainesville, FL",29.6516344,-82.3248262
"198","Oklahoma State University",36.1270236,-97.0737222
"199","Chicago",41.8781136,-87.6297982
"200","AHS | SPN",35.6494514,-97.4413392
"201","Terra-Belle, GA",34.1674228,-85.2528472
"202","LaSalle, Ontario",42.2355411,-83.1024769
